approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0000,332.556ms,8.503ms,1.004ms,342.063ms
adaptive,0.05,10,0.0000,301.9287ms,14.5858727s,2.0001ms,14.8898015s
adaptive,0.05,20,0.0000,310.4001ms,27.882915s,2ms,28.1953151s
adaptive,0.05,30,0.0000,296.3533ms,40.5814404s,2.9998ms,40.8807935s
adaptive,0.05,40,0.0000,297.7398ms,51.8578869s,4.0038ms,52.1596305s
adaptive,0.05,50,0.0000,297.5871ms,1m2.705235s,3.9998ms,1m3.0068219s
adaptive,0.05,60,0.0000,299.9775ms,1m13.1407363s,5.5067ms,1m13.4462205s
adaptive,0.05,70,0.0000,297.1704ms,1m22.5141717s,5ms,1m22.8163421s
adaptive,0.05,80,0.0000,296.6064ms,1m32.1371254s,6.0014ms,1m32.4397332s
adaptive,0.05,90,0.0000,296.9603ms,1m41.1433747s,7.5072ms,1m41.4478422s
