approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.7540,329.8958ms,6.5481ms,2m45.3893446s,2m45.7257885s
adaptive,0.05,10,0.7140,320.8736ms,16.2113056s,2m33.3933935s,2m49.9255727s
adaptive,0.05,20,0.6010,331.2363ms,30.8489479s,2m11.2961843s,2m42.4763685s
adaptive,0.05,30,0.5310,362.241ms,44.4389586s,1m49.2988274s,2m34.100027s
adaptive,0.05,40,0.4860,317.06ms,56.5699026s,1m40.3017545s,2m37.1887171s
adaptive,0.05,50,0.3920,320.6812ms,1m8.4379568s,1m20.7270741s,2m29.4857121s
adaptive,0.05,60,0.3390,314.8915ms,1m18.7467109s,1m10.273361s,2m29.3349634s
adaptive,0.05,70,0.2610,324.8186ms,1m29.2490712s,54.0527267s,2m23.6266165s
adaptive,0.05,80,0.1600,319.2296ms,1m40.1003428s,33.0548051s,2m13.4743775s
adaptive,0.05,90,0.0740,323.9077ms,1m49.3259018s,15.2615861s,2m4.9113956s
